stock_code,company_name,crawl_time,item_type,item_category,date_info,value,unit,numeric_value,raw_item_name,raw_item_value,original_row_index
004150,한솔홀딩스,2025-09-03 14:52:02,PER,main,2025.06,25.58배,배,25.58,PERlEPS(2025.06),25.58배 l 120원,0
004150,한솔홀딩스,2025-09-03 14:52:02,EPS,sub,2025.06,120원,원,120.0,PERlEPS(2025.06),25.58배 l 120원,0
004150,한솔홀딩스,2025-09-03 14:52:02,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
004150,한솔홀딩스,2025-09-03 14:52:02,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
004150,한솔홀딩스,2025-09-03 14:52:02,PBR,main,2025.06,0.22배,배,0.22,PBRlBPS (2025.06),"0.22배 l 14,083원",2
004150,한솔홀딩스,2025-09-03 14:52:02,BPS,sub,2025.06,"14,083원",원,14083.0,PBRlBPS (2025.06),"0.22배 l 14,083원",2
004150,한솔홀딩스,2025-09-03 14:52:02,배당수익률,main,2025.03,3.91%,%,3.91,배당수익률l2025.03,3.91%,3
010420,한솔PNS,2025-09-03 14:52:11,PER,main,2025.06,14.34배,배,14.34,PERlEPS(2025.06),14.34배 l 131원,0
010420,한솔PNS,2025-09-03 14:52:11,EPS,sub,2025.06,131원,원,131.0,PERlEPS(2025.06),14.34배 l 131원,0
010420,한솔PNS,2025-09-03 14:52:11,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
010420,한솔PNS,2025-09-03 14:52:11,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
010420,한솔PNS,2025-09-03 14:52:11,PBR,main,2025.06,0.88배,배,0.88,PBRlBPS (2025.06),"0.88배 l 2,137원",2
010420,한솔PNS,2025-09-03 14:52:11,BPS,sub,2025.06,"2,137원",원,2137.0,PBRlBPS (2025.06),"0.88배 l 2,137원",2
010420,한솔PNS,2025-09-03 14:52:11,배당수익률,main,2025.03,1.33%,%,1.33,배당수익률l2025.03,1.33%,3
213500,한솔제지,2025-09-03 14:52:20,PER,main,2025.06,N/A,,,PERlEPS(2025.06),"N/A l -1,233원",0
213500,한솔제지,2025-09-03 14:52:20,EPS,sub,2025.06,"-1,233원",원,1233.0,PERlEPS(2025.06),"N/A l -1,233원",0
213500,한솔제지,2025-09-03 14:52:20,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
213500,한솔제지,2025-09-03 14:52:20,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
213500,한솔제지,2025-09-03 14:52:20,PBR,main,2025.06,0.29배,배,0.29,PBRlBPS (2025.06),"0.29배 l 29,968원",2
213500,한솔제지,2025-09-03 14:52:20,BPS,sub,2025.06,"29,968원",원,29968.0,PBRlBPS (2025.06),"0.29배 l 29,968원",2
213500,한솔제지,2025-09-03 14:52:20,배당수익률,main,2025.03,5.84%,%,5.84,배당수익률l2025.03,5.84%,3
009180,한솔로지스틱스,2025-09-03 14:52:29,PER,main,2025.06,6.71배,배,6.71,PERlEPS(2025.06),6.71배 l 410원,0
009180,한솔로지스틱스,2025-09-03 14:52:29,EPS,sub,2025.06,410원,원,410.0,PERlEPS(2025.06),6.71배 l 410원,0
009180,한솔로지스틱스,2025-09-03 14:52:29,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
009180,한솔로지스틱스,2025-09-03 14:52:29,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
009180,한솔로지스틱스,2025-09-03 14:52:29,PBR,main,2025.06,0.57배,배,0.57,PBRlBPS (2025.06),"0.57배 l 4,789원",2
009180,한솔로지스틱스,2025-09-03 14:52:29,BPS,sub,2025.06,"4,789원",원,4789.0,PBRlBPS (2025.06),"0.57배 l 4,789원",2
009180,한솔로지스틱스,2025-09-03 14:52:29,배당수익률,main,2025.03,5.45%,%,5.45,배당수익률l2025.03,5.45%,3
025750,한솔홈데코,2025-09-03 14:52:38,PER,main,2025.06,N/A,,,PERlEPS(2025.06),N/A l -173원,0
025750,한솔홈데코,2025-09-03 14:52:38,EPS,sub,2025.06,-173원,원,173.0,PERlEPS(2025.06),N/A l -173원,0
025750,한솔홈데코,2025-09-03 14:52:38,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
025750,한솔홈데코,2025-09-03 14:52:38,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
025750,한솔홈데코,2025-09-03 14:52:38,PBR,main,2025.06,0.44배,배,0.44,PBRlBPS (2025.06),"0.44배 l 1,554원",2
025750,한솔홈데코,2025-09-03 14:52:38,BPS,sub,2025.06,"1,554원",원,1554.0,PBRlBPS (2025.06),"0.44배 l 1,554원",2
025750,한솔홈데코,2025-09-03 14:52:38,배당수익률,single,,N/A,,,배당수익률,N/A,3
004710,한솔테크닉스,2025-09-03 14:52:47,PER,main,2025.06,17.74배,배,17.74,PERlEPS(2025.06),17.74배 l 310원,0
004710,한솔테크닉스,2025-09-03 14:52:47,EPS,sub,2025.06,310원,원,310.0,PERlEPS(2025.06),17.74배 l 310원,0
004710,한솔테크닉스,2025-09-03 14:52:47,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
004710,한솔테크닉스,2025-09-03 14:52:47,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
004710,한솔테크닉스,2025-09-03 14:52:47,PBR,main,2025.06,0.47배,배,0.47,PBRlBPS (2025.06),"0.47배 l 11,590원",2
004710,한솔테크닉스,2025-09-03 14:52:47,BPS,sub,2025.06,"11,590원",원,11590.0,PBRlBPS (2025.06),"0.47배 l 11,590원",2
004710,한솔테크닉스,2025-09-03 14:52:47,배당수익률,main,2025.03,2.73%,%,2.73,배당수익률l2025.03,2.73%,3
114810,한솔아이원스,2025-09-03 14:52:57,PER,main,2025.06,9.16배,배,9.16,PERlEPS(2025.06),9.16배 l 941원,0
114810,한솔아이원스,2025-09-03 14:52:57,EPS,sub,2025.06,941원,원,941.0,PERlEPS(2025.06),9.16배 l 941원,0
114810,한솔아이원스,2025-09-03 14:52:57,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
114810,한솔아이원스,2025-09-03 14:52:57,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
114810,한솔아이원스,2025-09-03 14:52:57,PBR,main,2025.06,1.19배,배,1.19,PBRlBPS (2025.06),"1.19배 l 7,251원",2
114810,한솔아이원스,2025-09-03 14:52:57,BPS,sub,2025.06,"7,251원",원,7251.0,PBRlBPS (2025.06),"1.19배 l 7,251원",2
114810,한솔아이원스,2025-09-03 14:52:57,배당수익률,single,,N/A,,,배당수익률,N/A,3
070590,한솔인티큐브,2025-09-03 14:53:06,PER,main,2025.06,69.85배,배,69.85,PERlEPS(2025.06),69.85배 l 26원,0
070590,한솔인티큐브,2025-09-03 14:53:06,EPS,sub,2025.06,26원,원,26.0,PERlEPS(2025.06),69.85배 l 26원,0
070590,한솔인티큐브,2025-09-03 14:53:06,추정PER,main,,N/A,,,추정PERlEPS,N/A l N/A,1
070590,한솔인티큐브,2025-09-03 14:53:06,추정EPS,sub,,N/A,,,추정PERlEPS,N/A l N/A,1
070590,한솔인티큐브,2025-09-03 14:53:06,PBR,main,2025.06,1.83배,배,1.83,PBRlBPS (2025.06),1.83배 l 990원,2
070590,한솔인티큐브,2025-09-03 14:53:06,BPS,sub,2025.06,990원,원,990.0,PBRlBPS (2025.06),1.83배 l 990원,2
070590,한솔인티큐브,2025-09-03 14:53:06,배당수익률,single,,N/A,,,배당수익률,N/A,3
